标题,小区,地区,房源信息,总价,单价,所在区
['高层南向景观好，满五唯一，全新装修，钥匙方便看房'],['利雅湾 '],['珠江新城中'],['3室2厅 | 129.91平米 | 西南 | 其他 | 高楼层(共29层) | 2004年 | 塔楼'],['2201'],"['169,425元/平']",天河区
['此房全南向三房，通透采光好，中高层，看房方便'],['高德公馆 '],['珠江新城中'],['3室2厅 | 140.76平米 | 南 | 其他 | 中楼层(共45层) | 2009年 | 塔楼'],['1900'],"['134,982元/平']",天河区
['此房产权过五，物业好，望花园安静'],['中海璟晖华庭 '],['珠江新城中'],['3室2厅 | 139.58平米 | 北 | 其他 | 中楼层(共31层) | 2009年 | 塔楼'],['2350'],"['168,363元/平']",天河区
['中海物业，品质花园小区，大三房'],['中海璟晖华庭 '],['珠江新城中'],['3室1厅 | 134.65平米 | 南 | 精装 | 中楼层(共31层) | 2009年 | 塔楼'],['1700'],"['126,254元/平']",天河区
['高层，望花园游泳池，安静合适住家'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 147.54平米 | 北 | 精装 | 高楼层(共32层) | 2005年 | 塔楼'],['2688'],"['182,188元/平']",天河区
['嘉裕公馆 少有高层 飞机户型双主套房 大三房三卫生间'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 151.26平米 | 北 | 精装 | 高楼层(共33层)  | 塔楼'],['2750'],"['181,807元/平']",天河区
['高层南向飞机户型 灵活改动 采光通透'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 150.47平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼'],['3310'],"['219,978元/平']",天河区
['高层飞机户型 望花园 安静 税低'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 150.47平米 | 南 | 其他 | 高楼层(共33层) | 2015年 | 塔楼'],['2800'],"['186,084元/平']",天河区
['全南向大三房。户型方正，视野开阔，望到珠江公园'],['领峰园 '],['珠江新城中'],['3室1厅 | 160.9平米 | 南 | 其他 | 中楼层(共48层) | 2009年 | 塔楼'],['2680'],"['166,564元/平']",天河区
['保利心语 花园小区 高层西向望花园 通风采光好'],['保利心语 '],['珠江新城中'],['3室2厅 | 109.9平米 | 西 | 其他 | 中楼层(共32层) | 2008年 | 板塔结合'],['1560'],"['141,948元/平']",天河区
['嘉裕公馆北向三房，带主套，户型方正实用，景观漂亮'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 154.22平米 | 东北 | 其他 | 低楼层(共33层) | 2015年 | 塔楼'],['2580'],"['167,294元/平']",天河区
['隽峰苑 中层 南向小三房 采光好 视野开阔'],['隽峰苑 '],['珠江新城中'],['3室2厅 | 88.98平米 | 南 | 精装 | 中楼层(共32层) | 2008年 | 塔楼'],['1060'],"['119,128元/平']",天河区
['店长推 82方改善上车三房 装修保养好 诚意出可谈'],['保利心语 '],['珠江新城中'],['3室2厅 | 81.97平米 | 北 | 精装 | 高楼层(共32层) | 2009年 | 塔楼'],['965'],"['117,726元/平']",天河区
['楼龄新 楼层高  地铁近   户型方正'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 154.22平米 | 北 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2900'],"['188,044元/平']",天河区
['嘉裕公馆高层东南向三房双主套 业主诚心出'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 151.89平米 | 东南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['3136'],"['206,466元/平']",天河区
['中海璟晖华庭 少有南向高层安静三房 大阳台中海物业好'],['中海璟晖华庭 '],['珠江新城中'],['3室2厅 | 133.95平米 | 南 | 精装 | 32层 | 2007年 | 板塔结合'],['2500'],"['186,637元/平']",天河区
['珠江新城 地铁口 大三房 业主自住保养好'],['高德公馆 '],['珠江新城中'],['3室2厅 | 138平米 | 南 | 其他 | 低楼层(共45层) | 2009年 | 塔楼'],['2480'],"['179,711元/平']",天河区
['保利心语花园单边位采光佳3房，属于对流户型，满五年'],['保利心语 '],['珠江新城中'],['3室2厅 | 110平米 | 北 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['1430'],"['130,000元/平']",天河区
['南向双主套三房，采光通风好，户型方正'],['汇峰苑 '],['珠江新城中'],['3室2厅 | 166.07平米 | 南 | 简装 | 中楼层(共48层) | 2008年 | 塔楼'],['2760'],"['166,195元/平']",天河区
['中海花城湾 3室1厅 南'],['中海花城湾 '],['珠江新城中'],['3室1厅 | 93.38平米 | 南 | 精装 | 高楼层(共30层) | 2014年 | 塔楼'],['1650'],"['176,698元/平']",天河区
['CBD三房，高层南向户型方正，看整个小蛮腰，对流'],['汇峰苑 '],['珠江新城中'],['3室1厅 | 136.58平米 | 东南 | 精装 | 高楼层(共48层) | 2008年 | 塔楼'],['1880'],"['137,649元/平']",天河区
['领峰园 3室1厅 东南'],['领峰园 '],['珠江新城中'],['3室1厅 | 234.81平米 | 东南 | 精装 | 低楼层(共48层) | 2009年 | 塔楼'],['3400'],"['144,798元/平']",天河区
['嘉裕公馆 3室1厅 北 东北'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 155.08平米 | 北 东北 | 其他 | 低楼层(共33层) | 2015年 | 塔楼'],['2400'],"['154,759元/平']",天河区
['中海花城湾 3室2厅 北'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 147.43平米 | 北 | 精装 | 低楼层(共32层) | 2005年 | 塔楼'],['2650'],"['179,747元/平']",天河区
['小区楼龄新 户型方正 实用率高 花园大'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 157.09平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼'],['3090'],"['196,703元/平']",天河区
['高竞品三房 安静看花园 证满二 诚心卖 看房方便'],['中海花城湾 '],['珠江新城中'],['3室1厅 | 130.43平米 | 东北 | 精装 | 高楼层(共33层) | 2005年 | 塔楼'],['2200'],"['168,673元/平']",天河区
['南向高层三房 通风采光好 视野开阔 业主诚心放卖'],['隽峰苑 '],['珠江新城中'],['3室2厅 | 88.98平米 | 南 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['1050'],"['118,005元/平']",天河区
['高层全南向三房，可望珠城CBD震撼景观，真正春暖夏凉'],['领峰园 '],['珠江新城中'],['3室1厅 | 160.9平米 | 南 | 精装 | 高楼层(共48层) | 2009年 | 塔楼'],['2280'],"['141,703元/平']",天河区
['中海花城湾正南向小三房，中高楼层采光好'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 93.38平米 | 南 | 精装 | 中楼层(共30层) | 2014年 | 塔楼'],['1600'],"['171,343元/平']",天河区
['汇峰苑 3室1厅 北'],['汇峰苑 '],['珠江新城中'],['3室1厅 | 134.95平米 | 北 | 精装 | 中楼层(共48层) | 2008年 | 塔楼'],['1888'],"['139,904元/平']",天河区
['户型方正，望花园安静，装修下了真功夫，刚需好选择'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 139平米 | 北 | 其他 | 高楼层(共33层) | 2005年 | 塔楼'],['3180'],"['228,777元/平']",天河区
['东南单边，高层全览江景和小蛮腰景观'],['方圆月岛轩 '],['珠江新城中'],['3室2厅 | 132.41平米 | 东南 | 精装 | 高楼层(共46层) | 2009年 | 塔楼'],['2190'],"['165,396元/平']",天河区
['过五年唯一 高层南向大三房 阳光充足'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 151.3平米 | 南 | 精装 | 高楼层(共32层) | 2005年 | 塔楼'],['2980'],"['196,960元/平']",天河区
['北向望小区花园，2+1房，旺中带静，户型实用'],['保利心语 '],['珠江新城中'],['3室2厅 | 86.51平米 | 北 | 简装 | 中楼层(共32层) | 2009年 | 板塔结合'],['1050'],"['121,374元/平']",天河区
['户型方正，望花园安静，装修下了真功夫，刚需好选择'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 139平米 | 北 | 其他 | 高楼层(共33层) | 2005年 | 塔楼'],['3180'],"['228,777元/平']",天河区
['中海花城湾正南向小三房，中高楼层采光好'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 93.38平米 | 南 | 精装 | 中楼层(共30层) | 2014年 | 塔楼'],['1600'],"['171,343元/平']",天河区
['珠城中区江景房 采光好  户户朝南高层望江 视野开阔'],['中海花城湾 '],['珠江新城中'],['3室1厅 | 145.61平米 | 南 | 精装 | 中楼层(共32层) | 2005年 | 塔楼'],['2698'],"['185,290元/平']",天河区
['嘉裕公馆三期楼龄新，高层南向双主套大三房，户型方正'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 155.37平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼'],['2788'],"['179,443元/平']",天河区
['汇峰 高层南向望小蛮腰 视野开阔 装修新保养好'],['汇峰苑 '],['珠江新城中'],['3室2厅 | 136.58平米 | 南 | 其他 | 中楼层(共48层) | 2008年 | 塔楼'],['1750'],"['128,131元/平']",天河区
['高德公馆 南北对流3房 全新装修 满五唯一 看房方便'],['高德公馆 '],['珠江新城中'],['3室1厅 | 150.64平米 | 南 北 | 其他 | 低楼层(共45层) | 2009年 | 板楼'],['2100'],"['139,406元/平']",天河区
['嘉裕公馆 装修靓丽大三房 景观好'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 148.5平米 | 北 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2750'],"['185,186元/平']",天河区
['保利心语安静看小区花园三房，视野采光好'],['保利心语 '],['珠江新城中'],['3室1厅 | 107.86平米 | 北 东北 | 精装 | 低楼层(共32层) | 2008年 | 塔楼'],['1159'],"['107,455元/平']",天河区
['高德公馆 三房二厅 全新装修 南北对流'],['高德公馆 '],['珠江新城中'],['3室1厅 | 150.64平米 | 东南 | 精装 | 低楼层(共45层) | 2009年 | 塔楼'],['1778'],"['118,030元/平']",天河区
['珠江新城中区 热门楼盘 嘉裕公馆三房'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 148.5平米 | 北 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2380'],"['160,270元/平']",天河区
['方圆月岛 户型方正 诚心卖 看房方便 交通便利'],['方圆月岛轩 '],['珠江新城中'],['3室2厅 | 149.3平米 | 南 | 其他 | 低楼层(共30层) | 2009年 | 塔楼'],['1700'],"['113,865元/平']",天河区
['珠城双子星 嘉裕公馆 南向大三房 户型方正 采光好'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 155.37平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼'],['2650'],"['170,561元/平']",天河区
['隽峰苑 高层 南向小三房 采光好 视野开阔 过5'],['隽峰苑 '],['珠江新城中'],['3室1厅 | 85.36平米 | 南 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['950'],"['111,294元/平']",天河区
['高德公馆，南北对流，视野开阔无遮挡，户型方正采光好'],['高德公馆 '],['珠江新城中'],['3室2厅 | 174.88平米 | 南 | 精装 | 中楼层(共45层) | 2009年 | 塔楼'],['2380'],"['136,094元/平']",天河区
['单边位 视野开阔 采光好 证满五年'],['保利心语 '],['珠江新城中'],['3室2厅 | 103.63平米 | 南 | 精装 | 高楼层(共32层) | 2009年 | 塔楼'],['1700'],"['164,046元/平']",天河区
['少有南向望花园飞机户型，业主诚心放卖'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 151.36平米 | 南 | 其他 | 中楼层(共33层) | 2015年 | 塔楼'],['3190'],"['210,756元/平']",天河区
['嘉裕公馆 高层大三房双主套 远眺珠江公园'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 148.5平米 | 北 | 其他 | 高楼层(共33层) | 2015年 | 塔楼'],['2598'],"['174,950元/平']",天河区
['珠江新城-中区-嘉裕公馆-南向双主套-3房3卫优质房'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 154.41平米 | 东南 | 其他 | 低楼层(共33层) | 2015年 | 塔楼'],['3200'],"['207,241元/平']",天河区
['南北通飞机户型，双主套大三房，使用率高，采光好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 153.07平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼'],['3218'],"['210,231元/平']",天河区
['嘉裕二期，南向3房，广东省满五唯一物业，省税'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 155.87平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2954'],"['189,517元/平']",天河区
['南向三房 没遮挡 通风采光好 诚意出好谈'],['隽峰苑 '],['珠江新城中'],['3室1厅 | 89.3平米 | 南 | 其他 | 低楼层(共32层) | 2008年 | 塔楼'],['960'],"['107,503元/平']",天河区
['高层安静大三房，视野开阔，户型方正，中轴线标杆小区'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 151.24平米 | 北 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['3000'],"['198,361元/平']",天河区
['满五年不唯一 南北对流 通透敞亮 南向 采光很好'],['高德公馆 '],['珠江新城中'],['3室2厅 | 152.12平米 | 南 | 其他 | 高楼层(共45层) | 2009年 | 板楼'],['2250'],"['147,910元/平']",天河区
['南向单边高层大3房，采光通风好，视野开阔'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 155.87平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['3100'],"['198,884元/平']",天河区
['尚东君御雅苑高层南向3房，视野开阔望小蛮腰'],['尚东君御雅苑 '],['珠江新城中'],['3室1厅 | 91.27平米 | 南 | 精装 | 中楼层(共46层) | 2013年 | 塔楼'],['1500'],"['164,348元/平']",天河区
['高德公馆 大三房 南北对流 南望嘉裕公馆 满五唯一'],['高德公馆 '],['珠江新城中'],['3室2厅 | 150.64平米 | 南 北 | 精装 | 低楼层(共45层) | 2009年 | 塔楼'],['2400'],"['159,321元/平']",天河区
['高德公馆中层南向，装修精致，优质三房'],['高德公馆 '],['珠江新城中'],['3室1厅 | 163.45平米 | 南 | 其他 | 低楼层(共45层) | 2009年 | 板楼'],['2323'],"['142,123元/平']",天河区
['中海璟晖 户型方正实用三房 两大阳台 看花园安静'],['中海璟晖华庭 '],['珠江新城中'],['3室2厅 | 134.91平米 | 北 | 精装 | 低楼层(共31层) | 2009年 | 塔楼'],['1700'],"['126,010元/平']",天河区
['高德公馆，南北对流，视野开阔无遮挡，户型方正采光好'],['高德公馆 '],['珠江新城中'],['3室2厅 | 174.88平米 | 南 | 精装 | 中楼层(共45层) | 2009年 | 塔楼'],['2380'],"['136,094元/平']",天河区
['隽峰苑 高层 南向小三房 采光好 视野开阔 过5'],['隽峰苑 '],['珠江新城中'],['3室1厅 | 85.36平米 | 南 | 精装 | 高楼层(共32层) | 2008年 | 塔楼'],['950'],"['111,294元/平']",天河区
['满五年不唯一 南北对流 通透敞亮 南向 采光很好'],['高德公馆 '],['珠江新城中'],['3室2厅 | 152.12平米 | 南 | 其他 | 高楼层(共45层) | 2009年 | 板楼'],['2250'],"['147,910元/平']",天河区
['嘉裕公馆 高层 楼层很靓 业主置换诚卖 好谈'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 148.5平米 | 东北 | 其他 | 高楼层(共33层) | 2015年 | 塔楼'],['2500'],"['168,351元/平']",天河区
['嘉裕公馆三期，全南向大三房，视野开阔，采光通风好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 157.09平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼'],['3150'],"['200,522元/平']",天河区
['珠城中区大花园社区，中海物业，户型方正，产权清晰'],['中海璟晖华庭 '],['珠江新城中'],['3室2厅 | 134.91平米 | 西北 | 精装 | 高楼层(共31层) | 2009年 | 塔楼'],['1800'],"['133,423元/平']",天河区
['嘉裕公馆 高层大三房双主套 远眺珠江公园'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 148.5平米 | 北 | 其他 | 高楼层(共33层) | 2015年 | 塔楼'],['2598'],"['174,950元/平']",天河区
['飞机户型   高层南向   小三房  采光好   景观不错'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 92.99平米 | 南 | 其他 | 高楼层(共30层) | 2014年 | 塔楼'],['1550'],"['166,685元/平']",天河区
['高德公馆 南北对流3房 全新装修 满五唯一 看房方便'],['高德公馆 '],['珠江新城中'],['3室1厅 | 150.64平米 | 南 北 | 其他 | 低楼层(共45层) | 2009年 | 板楼'],['2100'],"['139,406元/平']",天河区
['少有南向望花园飞机户型，业主诚心放卖'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 151.36平米 | 南 | 其他 | 中楼层(共33层) | 2015年 | 塔楼'],['3190'],"['210,756元/平']",天河区
['中海花城湾，珠城改善小区，花园社区'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 93.38平米 | 南 | 简装 | 中楼层(共30层) | 2014年 | 塔楼'],['2150'],"['230,243元/平']",天河区
['高层望花园，大三房，新装修，视野好'],['中海花城湾 '],['珠江新城中'],['3室2厅 | 130.7平米 | 北 | 精装 | 高楼层(共33层) | 2005年 | 塔楼'],['2398'],"['183,474元/平']",天河区
['高德公馆 高层望小蛮腰 城市景观 户型方正 看房方便'],['高德公馆 '],['珠江新城中'],['3室2厅 | 140.77平米 | 南 | 精装 | 高楼层(共45层) | 2009年 | 塔楼'],['2249'],"['159,765元/平']",天河区
['保利心语安静看小区花园三房，视野采光好'],['保利心语 '],['珠江新城中'],['3室1厅 | 107.86平米 | 北 东北 | 精装 | 低楼层(共32层) | 2008年 | 塔楼'],['1159'],"['107,455元/平']",天河区
['中轴线次新房 高层改善三房双主套 过五年唯一省重税'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 148.5平米 | 北 | 精装 | 中楼层(共33层) | 2015年 | 塔楼'],['2350'],"['158,250元/平']",天河区
['南向单边高层大3房，采光通风好，视野开阔'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 155.87平米 | 南 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['3100'],"['198,884元/平']",天河区
['尚东君御雅苑高层南向3房，视野开阔望小蛮腰'],['尚东君御雅苑 '],['珠江新城中'],['3室1厅 | 91.27平米 | 南 | 精装 | 中楼层(共46层) | 2013年 | 塔楼'],['1500'],"['164,348元/平']",天河区
['汇峰 高层南向望小蛮腰 视野开阔 装修新保养好'],['汇峰苑 '],['珠江新城中'],['3室2厅 | 136.58平米 | 南 | 其他 | 中楼层(共48层) | 2008年 | 塔楼'],['1750'],"['128,131元/平']",天河区
['嘉裕公馆高层大三房 舒适温馨 视野采光好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 154.22平米 | 北 | 精装 | 高楼层(共33层) | 2015年 | 塔楼'],['2500'],"['162,107元/平']",天河区
['南北对流 两套打通 允许合证 双阳台设计 中高层'],['隽峰苑 '],['珠江新城中'],['3室1厅 | 85.63平米 | 北 | 精装 | 中楼层(共32层) | 2008年 | 板塔结合'],['796'],"['92,959元/平']",天河区
['南向，低奢的装修，三房两厅，视野好'],['高德公馆 '],['珠江新城中'],['3室2厅 | 163.45平米 | 南 | 其他 | 低楼层(共45层) | 2009年 | 塔楼'],['1900'],"['116,244元/平']",天河区
['南北对流格局对流通风，独梯独户，私密性高'],['隽峰苑 '],['珠江新城中'],['3室2厅 | 167.29平米 | 南 | 精装 | 中楼层(共32层) | 2008年 | 塔楼'],['1799'],"['107,538元/平']",天河区
['珠江新城商圈 嘉裕公馆高销量 飞机户型大三房 环境好'],['嘉裕公馆 '],['珠江新城中'],['3室2厅 | 151.27平米 | 北 | 精装 | 中楼层(共33层)  | 塔楼'],['2750'],"['181,795元/平']",天河区
['南向中层大三房 通风采光好 业主诚卖 独梯独户 不豪'],['隽峰苑 '],['珠江新城中'],['3室2厅 | 137.27平米 | 南 | 精装 | 中楼层(共32层) | 2008年 | 塔楼'],['1550'],"['112,917元/平']",天河区
['3房东南向，高楼层，安静舒适，户型方正，看珠江公园'],['嘉裕公馆 '],['珠江新城中'],['3室1厅 | 151.89平米 | 东南 | 其他 | 高楼层(共33层) | 2015年 | 塔楼'],['3180'],"['209,363元/平']",天河区
['高德南向三房 产权清晰 有钥匙 看房方便'],['高德公馆 '],['珠江新城中'],['3室1厅 | 150.64平米 | 南 | 其他 | 低楼层(共45层) | 2009年 | 塔楼'],['1900'],"['126,129元/平']",天河区
['领峰园东南单边位三房带主套装修保养好双省级包包'],['领峰园 '],['珠江新城中'],['3室2厅 | 139.15平米 | 南 | 其他 | 低楼层(共47层) | 2009年 | 板塔结合'],['1220'],"['87,676元/平']",天河区
['中海璟晖华庭 3室1厅 西北'],['中海璟晖华庭 '],['珠江新城中'],['3室1厅 | 134.91平米 | 西北 | 其他 | 高楼层(共31层) | 2009年 | 塔楼'],['1550'],"['114,892元/平']",天河区
['珠城大平层，港式设计，居住舒适低密度'],['博雅首府 '],['珠江新城中'],['3室2厅 | 196.74平米 | 东南 | 精装 | 中楼层(共30层) | 2008年 | 塔楼'],['2350'],"['119,447元/平']",天河区
['厅出阳台全南向 双阳台 采光通风好 户型方正大三房'],['天誉华庭 '],['龙口西'],['3室2厅 | 150.85平米 | 东南 | 其他 | 低楼层(共34层) | 2004年 | 板塔结合'],['1300'],"['86,179元/平']",天河区
['三房南向 望花园，安静舒适，管理好，位置佳'],['天文苑 '],['体育中心'],['3室2厅 | 138.32平米 | 南 | 精装 | 中楼层(共29层) | 2003年 | 板塔结合'],['1300'],"['93,985元/平']",天河区
['天誉华庭4-2-1-2 150.85m'],['天誉华庭 '],['龙口西'],['3室2厅 | 150.85平米 | 南 | 简装 | 中楼层(共34层) | 2004年 | 板塔结合'],['1285'],"['85,184元/平']",天河区
['两房东向，采光充足。楼层好，安静舒适'],['富力盈丰大厦 '],['珠江新城西'],['2室2厅 | 98.99平米 | 东 | 精装 | 低楼层(共29层) | 2005年 | 塔楼'],['550'],"['55,562元/平']",天河区
['珠江新城 保利香槟少有南北通4房 满五年 免豪省税'],['保利香槟花园 '],['珠江新城西'],['4室1厅 | 139.44平米 | 南 北 | 其他 | 低楼层(共29层) | 2004年 | 塔楼'],['1500'],"['107,574元/平']",天河区
['碧海湾大平层 前排无遮挡看珠江广州塔 独证 视野开阔'],['碧海湾 '],['珠江新城西'],['4室2厅 | 366.33平米 | 南 西南 | 其他 | 中楼层(共28层) | 2003年 | 塔楼'],['4680'],"['127,754元/平']",天河区
['一线南向望江美景  俯瞰城市繁华'],['碧海湾 '],['珠江新城西'],['4室2厅 | 185.51平米 | 西南 | 其他 | 高楼层(共28层) | 2003年 | 塔楼'],['2296'],"['123,767元/平']",天河区
['成熟商圈 东南向中层 通透无遮挡 诚意出手 稳定'],['富力盈丰大厦 '],['珠江新城西'],['2室1厅 | 101.75平米 | 东南 | 精装 | 中楼层(共29层) | 2005年 | 塔楼'],['330'],"['32,433元/平']",天河区
['富力盈力大厦 独立大平台户型好 采光充足'],['富力盈力大厦 '],['珠江新城西'],['4室1厅 | 211.25平米 | 东 | 其他 | 高楼层(共30层) | 2005年 | 板塔结合'],['860'],"['40,711元/平']",天河区
['保利香槟。东西对流正望园景，四房双主套。业主诚心卖'],['保利香槟花园 '],['珠江新城西'],['4室2厅 | 162.9平米 | 东 西 | 精装 | 中楼层(共17层) | 2004年 | 塔楼'],['1880'],"['115,409元/平']",天河区
['珠江新城西区108公馆东向二房业主诚心卖'],['保利中心108公馆 '],['珠江新城西'],['2室1厅 | 86.16平米 | 东 | 其他 | 低楼层(共32层) | 2009年 | 塔楼'],['1191'],"['138,232元/平']",天河区
['c栋高层，南向，一线江景，四年前新装修'],['碧海湾 '],['珠江新城西'],['5室2厅 | 185.46平米 | 南 | 其他 | 高楼层(共28层) | 2003年 | 塔楼'],['2360'],"['127,252元/平']",天河区
['急！急！急！远洋明珠南向两房 采光爆满'],['远洋明珠大厦 '],['珠江新城西'],['2室1厅 | 76.9平米 | 南 | 简装 | 中楼层(共25层) | 1998年 | 板楼'],['498'],"['64,760元/平']",天河区
['保利108公馆 小户型 安静看花园 格局漂亮'],['保利中心108公馆 '],['珠江新城西'],['2室2厅 | 86.16平米 | 北 | 其他 | 中楼层(共32层) | 2009年 | 塔楼'],['860'],"['99,815元/平']",天河区
['保利香槟花园 南北对流户型 户型方正 采光好'],['保利香槟花园 '],['珠江新城西'],['4室2厅 | 139.44平米 | 北 南 | 精装 | 中楼层(共29层) | 2004年 | 塔楼'],['1880'],"['134,826元/平']",天河区
['珠江新城富力盈力 可个人购买 可注册公司 出门带平台'],['富力盈力大厦 '],['珠江新城西'],['5室2厅 | 210.74平米 | 东 西 | 其他 | 低楼层(共30层) | 2005年 | 板塔结合'],['1095'],"['51,960元/平']",天河区
['珠江新城 东西通透 四居室  看房方便'],['保利香槟花园 '],['珠江新城西'],['4室2厅 | 162.91平米 | 东 西 | 简装 | 低楼层(共21层) | 2004年 | 塔楼'],['1900'],"['116,629元/平']",天河区
['此房满两年，东北向全明格局，装修档次高，飞机户型'],['珠江都荟华庭 '],['珠江新城西'],['2室2厅 | 91.88平米 | 东北 | 精装 | 中楼层(共33层) | 2010年 | 塔楼'],['920'],"['100,131元/平']",天河区
['东向大两房之一，视野宽景观好，少有放卖'],['皓瀚华轩 '],['珠江新城西'],['2室2厅 | 101.58平米 | 东 | 其他 | 中楼层(共22层) | 2000年 | 塔楼'],['757'],"['74,523元/平']",天河区
['108公馆少有放卖户型 保养新 看房提前预约'],['保利中心108公馆 '],['珠江新城西'],['4室2厅 | 222.15平米 | 南 | 精装 | 低楼层(共29层) | 2009年 | 板塔结合'],['3200'],"['144,047元/平']",天河区
['珠江新城 星汇园 花园小区 舒适两房'],['星汇园 '],['珠江新城西'],['2室2厅 | 94.1平米 | 西北 | 其他 | 高楼层(共33层) | 2001年 | 塔楼'],['1080'],"['114,772元/平']",天河区
['东向大两房，视野宽景观好，少有放卖'],['皓瀚华轩 '],['珠江新城西'],['2室2厅 | 92.68平米 | 东 | 其他 | 中楼层(共22层) | 2000年 | 塔楼'],['728'],"['78,550元/平']",天河区
['珠城 大平层 南北对流 高楼层 格局方正 视野开阔'],['保利中心108公馆 '],['珠江新城西'],['4室2厅 | 222.15平米 | 南 北 | 其他 | 高楼层(共29层) | 2009年 | 塔楼'],['3300'],"['148,549元/平']",天河区
['78.57方一房一厅小复式 住家温馨 少有户型采光好'],['富力盈丰大厦 '],['珠江新城西'],['2室2厅 | 78.57平米 | 西 | 其他 | 低楼层(共29层) | 2005年 | 塔楼'],['395'],"['50,274元/平']",天河区
['保利香槟 南北对流安静4房 精装修 采光好'],['保利香槟花园 '],['珠江新城西'],['4室2厅 | 162.83平米 | 东 | 精装 | 中楼层(共17层) | 2004年 | 塔楼'],['1680'],"['103,176元/平']",天河区
['格局方正 通风好 中高楼层 业主诚意出'],['珠江都荟华庭 '],['珠江新城西'],['2室2厅 | 93.29平米 | 北 | 其他 | 中楼层(共33层) | 2006年 | 塔楼'],['1128'],"['120,914元/平']",天河区
['富力盈丰100方大两房 格局好 采光好 近地铁 方正实用'],['富力盈丰大厦 '],['珠江新城西'],['2室1厅 | 100.4平米 | 东北 | 精装 | 中楼层(共29层) | 2005年 | 塔楼'],['318'],"['31,674元/平']",天河区
['带大平台 精装两房 户型图看房方便'],['杨箕东小区 '],['珠江新城西'],['2室1厅 | 43.18平米 | 南 北 | 精装 | 低楼层(共3层) | 1992年 | 塔楼'],['233'],"['53,961元/平']",天河区
['远洋明珠大厦 西南向两房 户型实用 业主诚心放卖'],['远洋明珠大厦 '],['珠江新城西'],['2室1厅 | 85.72平米 | 西南 | 简装 | 低楼层(共25层) | 2002年 | 板楼'],['750'],"['87,495元/平']",天河区
['高档住宅 小区环境优美  安静'],['保利香槟花园 '],['珠江新城西'],['4室2厅 | 89.71平米 | 西南 | 其他 | 高楼层(共17层) | 2004年 | 塔楼'],['1180'],"['131,535元/平']",天河区
['珠江都荟 高层东向望江两房 视野开阔 户型方正'],['珠江都荟华庭 '],['珠江新城西'],['2室2厅 | 88.04平米 | 东 | 精装 | 中楼层(共33层) | 2006年 | 塔楼'],['1100'],"['124,944元/平']",天河区
